ID,AnswerId
1815,15037 2732 22405 9870 197502 100577 25636 233285 164428 161773 
1904,1938 22996 18041 29454 22990 1913 1960 2005 23008 20640 
1980,13074 7119 15006 129303 68036 130935 214040 15756 201123 191633 
2181,8637 8764 163294 213330 141284 8523 137628 188096 27547 166634 
2492,13986 206340 129695 205530 123389 225338 191229 130374 148947 223705 
2516,201175 108914 164100 148947 88202 64956 66236 16289 224936 143856 
2547,2550 48947 41653 33761 381 117473 9989 23174 29291 41135 
2691,15195 43123 81767 154477 7144 20522 158805 47817 158718 45308 
2715,29630 8637 45764 2773 2732 10572 77134 123657 30548 61525 
3814,3483 92220 14639 148695 166996 3901 3464 172924 144339 97177 
3931,29249 60486 239380 169207 3934 144421 174744 46 152738 108502 
4551,219790 219703 139312 48349 11394 239327 160392 92248 123657 143797 
4612,33202 2732 17544 3545 100665 222324 22257 140762 44540 166634 
5026,21669 27799 5064 43468 5061 1551 115427 406 29186 115403 
5115,123670 27799 74338 196591 1375 123657 239475 92139 1388 127571 
5292,5296 41721 15693 215957 38682 69063 18779 166634 239061 240456 
5465,108521 9915 225366 16256 95780 158833 10819 142870 1924 24408 
6421,35073 143651 13483 607 40367 205076 23390 81648 13398 171128 
6601,25582 6617 63772 83733 6635 232601 17412 90519 46449 183278 
9085,46346 9093 43147 91254 9146 9086 26216 9117 18779 239061 
10459,2707 74944 18993 224686 186350 54892 47940 63191 63186 233048 
11009,140235 159766 50387 31031 61509 136295 133974 91283 74022 118315 
12128,51182 20033 110546 10873 79515 134323 115977 234680 12132 123047 
12386,36042 38094 991 151532 111877 113761 131040 156752 67449 56952 
15670,39011 15674 33143 613 15679 3492 195498 999 72357 215087 
16750,2445 5313 96997 14171 45934 33932 46027 10414 91254 7274 
20514,184970 160417 10404 163294 132707 174910 59792 30548 4618 173624 
20977,79861 148049 130609 18850 12862 93587 164232 180915 229480 131033 
23779,90087 27302 147563 1582 23784 61604 66701 1179 111612 188980 
25672,25681 192880 28536 169045 25770 192858 104288 195436 27066 25980 
27495,195094 109339 27497 109221 109220 46623 26122 95394 66880 179810 
33780,30132 33786 34144 38758 4789 89393 33827 59976 59648 47826 
41208,41209 23812 41316 41295 47716 73223 43445 169624 233821 169579 
43339,225866 43403 78159 80912 114667 83950 43418 43408 47530 74048 
86015,138741 22535 149076 5466 89704 6877 86016 86017 6586 86098 
93830,93890 143078 93835 93904 93834 23850 93893 122112 144031 194064 
112451,113059 15195 53236 183012 194682 171529 159324 127263 199075 115995 
126419,126429 135000 156524 136209 142943 136641 171520 136379 162336 196992 
128616,21813 188462 125396 104751 20716 154539 69869 156886 94594 128916 
136870,136879 83108 136903 137486 76393 231431 110914 112707 136874 111363 
140547,15412 61722 179913 173523 96265 74919 76384 1653 207396 49382 
158631,163188 158638 158689 177255 214986 158641 171733 207576 55447 163136 
163915,129685 23631 20398 163935 3731 16886 100341 7098 182168 226633 
167051,61261 167122 29850 194152 194295 167075 11789 27374 167095 63193 
169156,60504 108072 230331 67646 67870 189092 108006 169351 169178 226374 
185507,81890 132538 162933 125855 137426 175178 236761 22382 62129 15276 
194035,1644 17191 225866 18716 20572 59727 74036 104657 194041 203594 
195034,123670 49530 195094 123657 195042 195102 195498 195233 104503 196757 
202879,134117 109631 87464 183889 88202 180399 208418 67126 3267 30848 
204930,204963 156969 204961 167046 27688 192021 205698 205031 205286 86646 
