CreationDate    topic_id   Q0         tweet_id             Rank       Score           RunID      
20160802        RTS1       0          760584534526136322   1          3.6311274       Lab-0      
20160802        RTS1       0          760561981753479168   2          3.5665052       Lab-0      
20160802        RTS1       0          760272495068913665   3          3.3874779       Lab-0      
20160802        RTS1       0          760424681203601408   4          3.315413        Lab-0      
20160802        RTS1       0          760473553217126404   5          2.5752428       Lab-0      
20160802        RTS1       0          760461750474936320   6          2.3479311       Lab-0      
20160802        RTS1       0          760467458910289920   7          2.3294528       Lab-0      
20160802        RTS1       0          760489302837096448   8          2.2795322       Lab-0      
20160802        RTS1       0          760484194195738625   9          2.2795322       Lab-0      
20160802        RTS1       0          760625542219595776   10         2.2795322       Lab-0      
20160802        RTS2       0          760599743076700160   1          2.477289        Lab-0      
20160802        RTS2       0          760438249785438209   2          1.8711482       Lab-0      
20160802        RTS2       0          760400589121433600   3          1.7381487       Lab-0      
20160802        RTS2       0          760543950428049408   4          1.7381487       Lab-0      
20160802        RTS2       0          760489931969929216   5          1.6566353       Lab-0      
20160802        RTS2       0          760269374494093315   6          1.6408086       Lab-0      
20160802        RTS2       0          760496043066740736   7          1.6292212       Lab-0      
20160802        RTS2       0          760587063687311362   8          1.6214718       Lab-0      
20160802        RTS2       0          760472781469298689   9          1.6141921       Lab-0      
20160802        RTS2       0          760604159666257920   10         1.611662        Lab-0      
20160802        RTS4       0          760537864484581377   1          4.706361        Lab-0      
20160802        RTS4       0          760536320968126464   2          4.1105614       Lab-0      
20160802        RTS4       0          760529467488006145   3          3.714521        Lab-0      
20160802        RTS4       0          760561998509727745   4          3.710388        Lab-0      
20160802        RTS4       0          760427147446128640   5          3.710388        Lab-0      
20160802        RTS4       0          760567878949011457   6          3.695479        Lab-0      
20160802        RTS4       0          760540578186571776   7          3.170719        Lab-0      
20160802        RTS4       0          760270255331553280   8          2.976453        Lab-0      
20160802        RTS4       0          760525554202382336   9          2.6501412       Lab-0      
20160802        RTS4       0          760312638735785984   10         2.6013591       Lab-0      
20160802        RTS5       0          760277704386031616   1          3.3845108       Lab-0      
20160802        RTS5       0          760441831725404161   2          2.3144236       Lab-0      
20160802        RTS5       0          760276404164448256   3          2.27848         Lab-0      
20160802        RTS5       0          760398806542266368   4          2.2139583       Lab-0      
20160802        RTS5       0          760414249965551616   5          2.2139583       Lab-0      
20160802        RTS5       0          760436056135233536   6          2.2054381       Lab-0      
20160802        RTS5       0          760614800594378752   7          2.0614078       Lab-0      
20160802        RTS5       0          760489848079732736   8          1.9954505       Lab-0      
20160802        RTS5       0          760611554203140096   9          1.9233524       Lab-0      
20160802        RTS5       0          760427302618398720   10         1.9233524       Lab-0      
20160802        RTS6       0          760581346838323200   1          4.2725945       Lab-0      
20160802        RTS6       0          760410236003966978   2          2.8104537       Lab-0      
20160802        RTS6       0          760522236533104640   3          2.5985887       Lab-0      
20160802        RTS6       0          760531401049534464   4          2.568248        Lab-0      
20160802        RTS6       0          760362735531991040   5          2.520817        Lab-0      
20160802        RTS6       0          760472617904066560   6          2.4880142       Lab-0      
20160802        RTS6       0          760296142542348289   7          2.4820454       Lab-0      
20160802        RTS6       0          760269462608248832   8          2.4820454       Lab-0      
20160802        RTS6       0          760448320301137920   9          2.474766        Lab-0      
20160802        RTS6       0          760270255331553280   10         2.323713        Lab-0      
20160802        RTS10      0          760465915393798144   1          4.0503583       Lab-0      
20160802        RTS10      0          760329604707946496   2          3.9352353       Lab-0      
20160802        RTS10      0          760388266239533056   3          3.7565372       Lab-0      
20160802        RTS10      0          760487667041574912   4          3.5902948       Lab-0      
20160802        RTS10      0          760394360567500800   5          3.4762974       Lab-0      
20160802        RTS10      0          760526506300813312   6          3.4762974       Lab-0      
20160802        RTS10      0          760535146562985984   7          3.4714444       Lab-0      
20160802        RTS10      0          760436538488393728   8          3.4639897       Lab-0      
20160802        RTS10      0          760372151736233984   9          3.2708485       Lab-0      
