CreationDate    topic_id   Q0         tweet_id             Rank       Score           RunID      
20160802        RTS1       0          760461750474936320   1          5.233292        Lab-0      
20160802        RTS1       0          760467458910289920   2          5.1074457       Lab-0      
20160802        RTS1       0          760625542219595776   3          4.97331         Lab-0      
20160802        RTS1       0          760427503974440960   4          4.9684567       Lab-0      
20160802        RTS1       0          760424681203601408   5          4.9684567       Lab-0      
20160802        RTS1       0          760411871803498500   6          3.539917        Lab-0      
20160802        RTS1       0          760532873271054336   7          3.526251        Lab-0      
20160802        RTS1       0          760596123362791424   8          3.4863565       Lab-0      
20160802        RTS1       0          760517631187226624   9          3.233598        Lab-0      
20160802        RTS1       0          760507258644131841   10         3.0988357       Lab-0      
20160802        RTS2       0          760599743076700160   1          4.5582137       Lab-0      
20160802        RTS2       0          760269374494093315   2          3.6577854       Lab-0      
20160802        RTS2       0          760438249785438209   3          3.3359737       Lab-0      
20160802        RTS2       0          760318204606504960   4          2.9086735       Lab-0      
20160802        RTS2       0          760400589121433600   5          2.8642254       Lab-0      
20160802        RTS2       0          760268904744845313   6          2.8240542       Lab-0      
20160802        RTS2       0          760489931969929216   7          2.7126899       Lab-0      
20160802        RTS2       0          760443333252702208   8          2.6606865       Lab-0      
20160802        RTS2       0          760587063687311362   9          2.6486273       Lab-0      
20160802        RTS2       0          760472781469298689   10         2.6413474       Lab-0      
20160802        RTS4       0          760536320968126464   1          9.005053        Lab-0      
20160802        RTS4       0          760561998509727745   2          7.9791565       Lab-0      
20160802        RTS4       0          760427147446128640   3          7.9791565       Lab-0      
20160802        RTS4       0          760567878949011457   4          7.9642477       Lab-0      
20160802        RTS4       0          760540578186571776   5          7.602397        Lab-0      
20160802        RTS4       0          760270255331553280   6          6.7420797       Lab-0      
20160802        RTS4       0          760312638735785984   7          6.316723        Lab-0      
20160802        RTS4       0          760525554202382336   8          5.2669234       Lab-0      
20160802        RTS4       0          760424593131573248   9          5.2642927       Lab-0      
20160802        RTS4       0          760416628148502528   10         5.156257        Lab-0      
20160802        RTS5       0          760277704386031616   1          7.7184777       Lab-0      
20160802        RTS5       0          760392049514258432   2          4.781357        Lab-0      
20160802        RTS5       0          760276404164448256   3          4.6143074       Lab-0      
20160802        RTS5       0          760508059768598528   4          4.5474133       Lab-0      
20160802        RTS5       0          760535410816667649   5          4.3443136       Lab-0      
20160802        RTS5       0          760430288962932736   6          4.1727457       Lab-0      
20160802        RTS5       0          760435527682228224   7          3.863267        Lab-0      
20160802        RTS5       0          760514808391331841   8          3.7053616       Lab-0      
20160802        RTS5       0          760468327118565377   9          3.6808753       Lab-0      
20160802        RTS5       0          760436056135233536   10         3.670979        Lab-0      
