CreationDate    topic_id   Q0         tweet_id             Rank       Score           RunID      
20160802        RTS1       0          760625542219595776   1          3.7667623       Lab-0      
20160802        RTS1       0          760532516755365889   2          2.1704862       Lab-0      
20160802        RTS1       0          760427503974440960   3          1.5876957       Lab-0      
20160802        RTS1       0          760424681203601408   4          1.5876957       Lab-0      
20160802        RTS1       0          760461750474936320   5          1.5876957       Lab-0      
20160802        RTS1       0          760467458910289920   6          1.5876957       Lab-0      
20160802        RTS2       0          760489931969929216   1          1.5901222       Lab-0      
20160802        RTS2       0          760467962214158336   2          1.5901222       Lab-0      
20160802        RTS2       0          760587063687311362   3          1.5901222       Lab-0      
20160802        RTS2       0          760496043066740736   4          1.5876957       Lab-0      
20160802        RTS2       0          760472781469298689   5          1.5876957       Lab-0      
20160802        RTS2       0          760617883407835136   6          0.5930309       Lab-0      
20160802        RTS2       0          760497334912442368   7          0.55796         Lab-0      
20160802        RTS2       0          760510056253169664   8          0.55796         Lab-0      
20160802        RTS2       0          760443333252702208   9          0.5505055       Lab-0      
20160802        RTS2       0          760380095727038464   10         0.5505055       Lab-0      
20160802        RTS4       0          760536320968126464   1          2.5652313       Lab-0      
20160802        RTS4       0          760561998509727745   2          2.357348        Lab-0      
20160802        RTS4       0          760427147446128640   3          2.357348        Lab-0      
20160802        RTS4       0          760567878949011457   4          2.3498936       Lab-0      
20160802        RTS4       0          760525554202382336   5          1.5901222       Lab-0      
20160802        RTS4       0          760424593131573248   6          1.486461        Lab-0      
20160802        RTS4       0          760540578186571776   7          1.4582639       Lab-0      
20160802        RTS4       0          760278018963144704   8          1.2866536       Lab-0      
20160802        RTS4       0          760498802927214592   9          1.2838655       Lab-0      
20160802        RTS4       0          760416628148502528   10         1.2810042       Lab-0      
20160802        RTS5       0          760318745654857729   1          1.4909577       Lab-0      
20160802        RTS5       0          760535410816667649   2          1.3227358       Lab-0      
20160802        RTS5       0          760392049514258432   3          1.0621023       Lab-0      
20160802        RTS5       0          760420772103938048   4          1.0288097       Lab-0      
20160802        RTS5       0          760290161489879040   5          1.0226558       Lab-0      
20160802        RTS5       0          760435527682228224   6          0.96003896      Lab-0      
20160802        RTS5       0          760502963697750016   7          0.89402187      Lab-0      
20160802        RTS5       0          760474060732133376   8          0.89402187      Lab-0      
20160802        RTS5       0          760321803294154753   9          0.8828401       Lab-0      
20160802        RTS5       0          760439566784270336   10         0.8641001       Lab-0      
20160802        RTS6       0          760421833279545344   1          2.17664         Lab-0      
20160802        RTS6       0          760571850955091968   2          2.17664         Lab-0      
20160802        RTS6       0          760362735531991040   3          1.491314        Lab-0      
20160802        RTS6       0          760472617904066560   4          1.486461        Lab-0      
20160802        RTS6       0          760581346838323200   5          1.486461        Lab-0      
20160802        RTS6       0          760448320301137920   6          1.486461        Lab-0      
20160802        RTS6       0          760270255331553280   7          1.3328305       Lab-0      
20160802        RTS6       0          760410236003966978   8          1.3279775       Lab-0      
20160802        RTS6       0          760522236533104640   9          1.2810042       Lab-0      
20160802        RTS6       0          760531401049534464   10         1.2748504       Lab-0      
20160802        RTS10      0          760487667041574912   1          2.5377226       Lab-0      
20160802        RTS10      0          760453445727858688   2          2.0410693       Lab-0      
20160802        RTS10      0          760526506300813312   3          1.925779        Lab-0      
20160802        RTS10      0          760329604707946496   4          1.9233524       Lab-0      
20160802        RTS10      0          760388266239533056   5          1.9196252       Lab-0      
20160802        RTS10      0          760430561596878848   6          1.4691293       Lab-0      
20160802        RTS10      0          760372151736233984   7          1.4667027       Lab-0      
20160802        RTS10      0          760531338143240197   8          1.4667027       Lab-0      
20160802        RTS10      0          760265540912820224   9          1.4629755       Lab-0      
20160802        RTS13      0          760619355604447232   1          2.5666575       Lab-0      
20160802        RTS13      0          760490586285731848   2          1.6962639       Lab-0      
20160802        RTS13      0          760588812720361472   3          1.506803        Lab-0      
20160802        RTS13      0          760511620720107520   4          1.506803        Lab-0      
20160802        RTS13      0          760321048340553730   5          1.506803        Lab-0      
20160802        RTS13      0          760383296006197248   6          1.4731531       Lab-0      
20160802        RTS13      0          760555098883756033   7          1.3608562       Lab-0      
20160802        RTS13      0          760521091479633920   8          1.3485485       Lab-0      
20160802        RTS13      0          760485335046451202   9          1.2058015       Lab-0      
20160802        RTS13      0          760575957174542336   10         1.2058015       Lab-0      
20160802        RTS14      0          760446344762757120   1          2.5414498       Lab-0      
20160802        RTS14      0          760433938036731904   2          2.17664         Lab-0      
20160802        RTS14      0          760468327118565377   3          2.17664         Lab-0      
20160802        RTS19      0          760367206668435456   1          0.5964724       Lab-0      
20160802        RTS19      0          760476866713051136   2          0.5940458       Lab-0      
20160802        RTS19      0          760512891606867968   3          0.5940458       Lab-0      
20160802        RTS19      0          760600397379543041   4          0.59031856      Lab-0      
20160802        RTS19      0          760552917828902912   5          0.59031856      Lab-0      
20160802        RTS19      0          760588170975117313   6          0.59031856      Lab-0      
20160802        RTS19      0          760527206753767424   7          0.59031856      Lab-0      
20160802        RTS19      0          760438673397551104   8          0.34210318      Lab-0      
20160802        RTS19      0          760493081892360192   9          0.34210318      Lab-0      
20160802        RTS19      0          760544596346736640   10         0.34210318      Lab-0      
20160802        RTS21      0          760445191358644224   1          2.198929        Lab-0      
20160802        RTS21      0          760607150179745794   2          2.17664         Lab-0      
20160802        RTS21      0          760535935112970241   3          2.17664         Lab-0      
20160802        RTS21      0          760462765458849793   4          1.3676916       Lab-0      
20160802        RTS21      0          760583234291834880   5          1.3676916       Lab-0      
20160802        RTS21      0          760450128029245440   6          1.3676916       Lab-0      
20160802        RTS21      0          760519812187496449   7          1.3652651       Lab-0      
20160802        RTS21      0          760524937631141888   8          1.3652651       Lab-0      
20160802        RTS21      0          760315989993086976   9          1.3652651       Lab-0      
20160802        RTS21      0          760582294755160064   10         1.2785777       Lab-0      
20160802        RTS24      0          760558290753327104   1          2.1685863       Lab-0      
20160802        RTS24      0          760564317951582208   2          2.163733        Lab-0      
20160802        RTS24      0          760552062224596992   3          1.8791813       Lab-0      
20160802        RTS24      0          760587004950163456   4          1.5614125       Lab-0      
20160802        RTS24      0          760551718274957313   5          1.4691293       Lab-0      
20160802        RTS24      0          760334105183531008   6          1.4667027       Lab-0      
20160802        RTS24      0          760547930805825536   7          1.1677809       Lab-0      
20160802        RTS24      0          760466016044548096   8          1.1096364       Lab-0      
20160802        RTS24      0          760579732022976512   9          1.1096364       Lab-0      
20160802        RTS24      0          760464548050591746   10         1.1072099       Lab-0      
20160802        RTS25      0          760571901269970944   1          2.094655        Lab-0      
20160802        RTS25      0          760503173400317953   2          1.7409191       Lab-0      
20160802        RTS25      0          760605216634994688   3          1.5490706       Lab-0      
20160802        RTS25      0          760414757459406848   4          1.5490706       Lab-0      
20160802        RTS25      0          760616641910616064   5          1.5442173       Lab-0      
20160802        RTS25      0          760526560847863808   6          1.536763        Lab-0      
20160802        RTS25      0          760297396664279040   7          1.276891        Lab-0      
20160802        RTS25      0          760313217574772736   8          1.276891        Lab-0      
20160802        RTS25      0          760313133667713024   9          1.276891        Lab-0      
20160802        RTS25      0          760517878634479616   10         1.0658455       Lab-0      
20160802        RTS27      0          760599982143569920   1          1.930198        Lab-0      
20160802        RTS27      0          760549075875794944   2          1.9233524       Lab-0      
20160802        RTS27      0          760529542993895424   3          1.9233524       Lab-0      
20160802        RTS27      0          760516196697509888   4          1.1627479       Lab-0      
