CreationDate    topic_id   Q0         tweet_id             Rank       Score           RunID      
20160802        RTS1       0          760625542219595776   1          0.25147492      Lab-0      
20160802        RTS1       0          760580197590536192   2          0.20117992      Lab-0      
20160802        RTS1       0          760477843998531584   3          0.18504895      Lab-0      
20160802        RTS1       0          760442607658995712   4          0.16057901      Lab-0      
20160802        RTS1       0          760596123362791424   5          0.15111521      Lab-0      
20160802        RTS1       0          760519074027823104   6          0.14606723      Lab-0      
20160802        RTS1       0          760458415994986496   7          0.14606723      Lab-0      
20160802        RTS1       0          760507258644131841   8          0.14302774      Lab-0      
20160802        RTS1       0          760486106764873728   9          0.08437088      Lab-0      
20160802        RTS1       0          760321866233810946   10         0.083694816     Lab-0      
20160802        RTS2       0          760599743076700160   1          0.37037045      Lab-0      
20160802        RTS2       0          760448030906675200   2          0.20809025      Lab-0      
20160802        RTS2       0          760476422125355008   3          0.118772835     Lab-0      
20160802        RTS2       0          760400589121433600   4          0.118772835     Lab-0      
20160802        RTS2       0          760484487784304641   5          0.108502716     Lab-0      
20160802        RTS2       0          760496043066740736   6          0.10639099      Lab-0      
20160802        RTS2       0          760489931969929216   7          0.10639099      Lab-0      
20160802        RTS2       0          760472781469298689   8          0.10639099      Lab-0      
20160802        RTS2       0          760467962214158336   9          0.10639099      Lab-0      
20160802        RTS2       0          760587063687311362   10         0.10639099      Lab-0      
20160802        RTS4       0          760540578186571776   1          0.5274685       Lab-0      
20160802        RTS4       0          760410236003966978   2          0.521295        Lab-0      
20160802        RTS4       0          760560895412080640   3          0.521295        Lab-0      
20160802        RTS4       0          760579228735672322   4          0.521295        Lab-0      
20160802        RTS4       0          760536320968126464   5          0.40365237      Lab-0      
20160802        RTS4       0          760362735531991040   6          0.3974014       Lab-0      
20160802        RTS4       0          760602611959500800   7          0.32547915      Lab-0      
20160802        RTS4       0          760581292333367296   8          0.32547915      Lab-0      
20160802        RTS4       0          760517559858831361   9          0.31414634      Lab-0      
20160802        RTS4       0          760424593131573248   10         0.27503753      Lab-0      
20160802        RTS5       0          760277704386031616   1          0.4071547       Lab-0      
20160802        RTS5       0          760392049514258432   2          0.2506757       Lab-0      
20160802        RTS5       0          760430288962932736   3          0.24883404      Lab-0      
20160802        RTS5       0          760614800594378752   4          0.22303495      Lab-0      
20160802        RTS5       0          760508059768598528   5          0.2177298       Lab-0      
20160802        RTS5       0          760453483501871104   6          0.20357151      Lab-0      
20160802        RTS5       0          760284109092429824   7          0.19104604      Lab-0      
20160802        RTS5       0          760276404164448256   8          0.18461661      Lab-0      
20160802        RTS5       0          760436056135233536   9          0.1844619       Lab-0      
20160802        RTS5       0          760615727565049856   10         0.15824123      Lab-0      
20160802        RTS6       0          760581346838323200   1          0.83011246      Lab-0      
20160802        RTS6       0          760517559858831361   2          0.54403913      Lab-0      
20160802        RTS6       0          760473553217126404   3          0.53879106      Lab-0      
20160802        RTS6       0          760549327508942848   4          0.48721975      Lab-0      
20160802        RTS6       0          760456771806781441   5          0.48721975      Lab-0      
20160802        RTS6       0          760410236003966978   6          0.45093226      Lab-0      
20160802        RTS6       0          760560895412080640   7          0.45093226      Lab-0      
20160802        RTS6       0          760579228735672322   8          0.45093226      Lab-0      
20160802        RTS6       0          760508059768598528   9          0.39456573      Lab-0      
20160802        RTS6       0          760519074027823104   10         0.32940838      Lab-0      
20160802        RTS10      0          760388266239533056   1          0.2605982       Lab-0      
20160802        RTS10      0          760372151736233984   2          0.2324666       Lab-0      
20160802        RTS10      0          760614800594378752   3          0.19718274      Lab-0      
20160802        RTS10      0          760494319216103426   4          0.14588745      Lab-0      
20160802        RTS10      0          760487667041574912   5          0.1449589       Lab-0      
20160802        RTS10      0          760329604707946496   6          0.13394506      Lab-0      
20160802        RTS10      0          760467458910289920   7          0.13076927      Lab-0      
20160802        RTS10      0          760436156806733824   8          0.12377823      Lab-0      
20160802        RTS10      0          760485955799224320   9          0.12157286      Lab-0      
20160802        RTS10      0          760599889873108992   10         0.1065386       Lab-0      
20160802        RTS13      0          760619355604447232   1          0.47754073      Lab-0      
20160802        RTS13      0          760290245376151552   2          0.4448785       Lab-0      
20160802        RTS13      0          760615727565049856   3          0.36255705      Lab-0      
20160802        RTS13      0          760383296006197248   4          0.35829636      Lab-0      
20160802        RTS13      0          760579874625036288   5          0.2873555       Lab-0      
20160802        RTS13      0          760459837868212224   6          0.28146482      Lab-0      
20160802        RTS13      0          760421833279549440   7          0.27678636      Lab-0      
20160802        RTS13      0          760336403662245890   8          0.21162558      Lab-0      
20160802        RTS13      0          760282620122890240   9          0.19653204      Lab-0      
20160802        RTS13      0          760490586285731848   10         0.19546051      Lab-0      
20160802        RTS14      0          760519074027823104   1          0.5018202       Lab-0      
20160802        RTS14      0          760442607658995712   2          0.2724641       Lab-0      
20160802        RTS14      0          760596123362791424   3          0.26955163      Lab-0      
20160802        RTS14      0          760458415994986496   4          0.2567867       Lab-0      
20160802        RTS14      0          760467681199984640   5          0.22920644      Lab-0      
20160802        RTS14      0          760459812685639680   6          0.22920644      Lab-0      
20160802        RTS14      0          760311346927771648   7          0.19989485      Lab-0      
20160802        RTS14      0          760552456472236032   8          0.19016576      Lab-0      
20160802        RTS14      0          760436156806733824   9          0.18280718      Lab-0      
