runtag	topic	nDCG1 	nDCG0 
Lab-0	MB226	0.7000	0.0000
Lab-0	MB229	0.0000	0.0000
Lab-0	MB230	0.9000	0.0000
Lab-0	MB239	0.8000	0.0000
Lab-0	MB254	0.7000	0.0000
Lab-0	MB256	0.1000	0.0000
Lab-0	MB258	0.0000	0.0000
Lab-0	MB265	0.3000	0.0000
Lab-0	MB267	0.0000	0.0000
Lab-0	MB276	0.1000	0.0000
Lab-0	MB286	0.1000	0.0000
Lab-0	MB319	0.0000	0.0000
Lab-0	MB320	0.1000	0.0000
Lab-0	MB332	0.1000	0.0000
Lab-0	MB351	0.4000	0.0000
Lab-0	MB358	0.2000	0.0000
Lab-0	MB361	0.7000	0.0000
Lab-0	MB362	0.0000	0.0000
Lab-0	MB363	0.0000	0.0000
Lab-0	MB365	0.1000	0.0000
Lab-0	MB371	0.0000	0.0000
Lab-0	MB377	0.0000	0.0000
Lab-0	MB381	0.5000	0.0000
Lab-0	MB382	0.2000	0.0000
Lab-0	MB391	0.0000	0.0000
Lab-0	MB392	0.0000	0.0000
Lab-0	MB409	0.1000	0.0000
Lab-0	MB410	0.7000	0.0000
Lab-0	MB414	0.0000	0.0000
Lab-0	MB419	1.0000	0.0000
Lab-0	MB420	0.0000	0.0000
Lab-0	MB425	0.6000	0.0000
Lab-0	MB431	0.4000	0.0000
Lab-0	MB436	0.0000	0.0000
Lab-0	MB438	0.9000	0.0000
Lab-0	MB440	0.0000	0.0000
Lab-0	RTS1 	0.0672	0.0672
Lab-0	RTS10	0.0831	0.0831
Lab-0	RTS13	0.0780	0.0780
Lab-0	RTS14	0.0000	0.0000
Lab-0	RTS19	0.0000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.0613	0.0613
Lab-0	RTS24	0.0356	0.0356
Lab-0	RTS25	0.0558	0.0558
Lab-0	RTS27	0.0636	0.0636
Lab-0	RTS28	0.0478	0.0478
Lab-0	RTS31	0.0076	0.0076
Lab-0	RTS32	0.1076	0.1076
Lab-0	RTS35	0.3942	0.0942
Lab-0	RTS36	0.0765	0.0765
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.1641	0.1641
Lab-0	RTS43	0.0641	0.0641
Lab-0	RTS5 	0.0237	0.0237
Lab-0	RTS6 	0.0938	0.0938
Lab-0	All  	0.1986	0.0201
