runtag	topic	nDCG1 	nDCG0 
Lab-0	MB226	0.7000	0.0000
Lab-0	MB229	0.0000	0.0000
Lab-0	MB230	0.9000	0.0000
Lab-0	MB239	0.8000	0.0000
Lab-0	MB254	0.7000	0.0000
Lab-0	MB256	0.1000	0.0000
Lab-0	MB258	0.0000	0.0000
Lab-0	MB265	0.3000	0.0000
Lab-0	MB267	0.0000	0.0000
Lab-0	MB276	0.1000	0.0000
Lab-0	MB286	0.1000	0.0000
Lab-0	MB319	0.0000	0.0000
Lab-0	MB320	0.1000	0.0000
Lab-0	MB332	0.1000	0.0000
Lab-0	MB351	0.4000	0.0000
Lab-0	MB358	0.2000	0.0000
Lab-0	MB361	0.7000	0.0000
Lab-0	MB362	0.0000	0.0000
Lab-0	MB363	0.0000	0.0000
Lab-0	MB365	0.1000	0.0000
Lab-0	MB371	0.0000	0.0000
Lab-0	MB377	0.0000	0.0000
Lab-0	MB381	0.5000	0.0000
Lab-0	MB382	0.2000	0.0000
Lab-0	MB391	0.0000	0.0000
Lab-0	MB392	0.0000	0.0000
Lab-0	MB409	0.1000	0.0000
Lab-0	MB410	0.7000	0.0000
Lab-0	MB414	0.0000	0.0000
Lab-0	MB419	1.0000	0.0000
Lab-0	MB420	0.0000	0.0000
Lab-0	MB425	0.6000	0.0000
Lab-0	MB431	0.4000	0.0000
Lab-0	MB436	0.0000	0.0000
Lab-0	MB438	0.9000	0.0000
Lab-0	MB440	0.0000	0.0000
Lab-0	RTS1 	0.1055	0.1055
Lab-0	RTS10	0.1634	0.1634
Lab-0	RTS13	0.0858	0.0858
Lab-0	RTS14	0.0000	0.0000
Lab-0	RTS19	0.2000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.2226	0.2226
Lab-0	RTS24	0.0815	0.0815
Lab-0	RTS25	0.1204	0.1204
Lab-0	RTS27	0.1867	0.1867
Lab-0	RTS28	0.1478	0.0478
Lab-0	RTS31	0.0459	0.0459
Lab-0	RTS32	0.3101	0.2101
Lab-0	RTS35	0.4201	0.1201
Lab-0	RTS36	0.1535	0.1535
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.0356	0.0356
Lab-0	RTS43	0.1440	0.0440
Lab-0	RTS5 	0.0206	0.0206
Lab-0	RTS6 	0.1893	0.1893
Lab-0	All  	0.2202	0.0327
