runtag	topic	nDCG1 	nDCG0 
Lab-0	MB226	0.7000	0.0000
Lab-0	MB229	0.0000	0.0000
Lab-0	MB230	0.9000	0.0000
Lab-0	MB239	0.8000	0.0000
Lab-0	MB254	0.7000	0.0000
Lab-0	MB256	0.1000	0.0000
Lab-0	MB258	0.0000	0.0000
Lab-0	MB265	0.3000	0.0000
Lab-0	MB267	0.0000	0.0000
Lab-0	MB276	0.1000	0.0000
Lab-0	MB286	0.1000	0.0000
Lab-0	MB319	0.0000	0.0000
Lab-0	MB320	0.1000	0.0000
Lab-0	MB332	0.1000	0.0000
Lab-0	MB351	0.4000	0.0000
Lab-0	MB358	0.2000	0.0000
Lab-0	MB361	0.7000	0.0000
Lab-0	MB362	0.0000	0.0000
Lab-0	MB363	0.0000	0.0000
Lab-0	MB365	0.1000	0.0000
Lab-0	MB371	0.0000	0.0000
Lab-0	MB377	0.0000	0.0000
Lab-0	MB381	0.5000	0.0000
Lab-0	MB382	0.2000	0.0000
Lab-0	MB391	0.0000	0.0000
Lab-0	MB392	0.0000	0.0000
Lab-0	MB409	0.1000	0.0000
Lab-0	MB410	0.7000	0.0000
Lab-0	MB414	0.0000	0.0000
Lab-0	MB419	1.0000	0.0000
Lab-0	MB420	0.0000	0.0000
Lab-0	MB425	0.6000	0.0000
Lab-0	MB431	0.4000	0.0000
Lab-0	MB436	0.0000	0.0000
Lab-0	MB438	0.9000	0.0000
Lab-0	MB440	0.0000	0.0000
Lab-0	RTS1 	0.1007	0.1007
Lab-0	RTS10	0.1002	0.1002
Lab-0	RTS13	0.0582	0.0582
Lab-0	RTS14	0.0000	0.0000
Lab-0	RTS19	0.0000	0.0000
Lab-0	RTS2 	0.0000	0.0000
Lab-0	RTS21	0.1798	0.1798
Lab-0	RTS24	0.0468	0.0468
Lab-0	RTS25	0.0558	0.0558
Lab-0	RTS27	0.2037	0.2037
Lab-0	RTS28	0.2383	0.0383
Lab-0	RTS31	0.0459	0.0459
Lab-0	RTS32	0.2164	0.1164
Lab-0	RTS35	0.3625	0.0625
Lab-0	RTS36	0.1203	0.1203
Lab-0	RTS37	0.0000	0.0000
Lab-0	RTS4 	0.0387	0.0387
Lab-0	RTS43	0.0230	0.0230
Lab-0	RTS5 	0.0854	0.0854
Lab-0	RTS6 	0.1400	0.1400
Lab-0	All  	0.2092	0.0253
