QueryID    Q0         DocID      Rank       Score      RunID      
3          0          91254      1          5.959355   Lab-0      
3          0          46320      2          4.5147176  Lab-0      
3          0          140390     3          4.434691   Lab-0      
3          0          157379     4          4.0728016  Lab-0      
3          0          27956      5          3.248165   Lab-0      
3          0          129508     6          3.1211784  Lab-0      
3          0          112630     7          3.0597527  Lab-0      
3          0          91860      8          3.0264192  Lab-0      
3          0          7477       9          3.024685   Lab-0      
3          0          21972      10         2.9900029  Lab-0      
6          0          1551       1          6.2528415  Lab-0      
6          0          48578      2          5.8139906  Lab-0      
6          0          5920       3          5.099233   Lab-0      
6          0          96184      4          4.703253   Lab-0      
6          0          64479      5          4.5105214  Lab-0      
6          0          188987     6          4.1947117  Lab-0      
6          0          922        7          4.174509   Lab-0      
6          0          225278     8          3.7562327  Lab-0      
6          0          9387       9          3.699829   Lab-0      
6          0          1199       10         3.5778868  Lab-0      
7          0          49818      1          3.9053023  Lab-0      
7          0          161872     2          3.2411385  Lab-0      
7          0          160857     3          3.195277   Lab-0      
7          0          36313      4          3.0004797  Lab-0      
7          0          216168     5          2.977721   Lab-0      
7          0          175472     6          2.7221332  Lab-0      
7          0          126552     7          2.6761003  Lab-0      
7          0          160960     8          2.5986774  Lab-0      
7          0          13576      9          2.5492182  Lab-0      
7          0          125331     10         2.507299   Lab-0      
22         0          14911      1          5.55852    Lab-0      
22         0          70217      2          4.60929    Lab-0      
22         0          235085     3          3.9310555  Lab-0      
22         0          125835     4          3.3888233  Lab-0      
22         0          167070     5          3.3699455  Lab-0      
22         0          189321     6          3.360681   Lab-0      
22         0          31289      7          3.2896833  Lab-0      
22         0          149725     8          3.257783   Lab-0      
22         0          11727      9          3.2353513  Lab-0      
22         0          15061      10         3.058707   Lab-0      
31         0          78906      1          2.5451555  Lab-0      
31         0          38544      2          2.4596207  Lab-0      
31         0          112352     3          2.4023821  Lab-0      
31         0          60259      4          2.222308   Lab-0      
31         0          63868      6          2.2007186  Lab-0      
31         0          133119     5          2.1842456  Lab-0      
31         0          137615     7          2.071771   Lab-0      
31         0          25076      9          2.0280714  Lab-0      
31         0          295        8          2.0152495  Lab-0      
31         0          137517     10         1.9959958  Lab-0      
36         0          84309      1          4.0426736  Lab-0      
36         0          14070      2          3.5325682  Lab-0      
36         0          77         3          3.4609456  Lab-0      
36         0          18017      4          3.346857   Lab-0      
36         0          141306     5          3.3049119  Lab-0      
36         0          176128     6          3.288605   Lab-0      
36         0          126341     7          3.239979   Lab-0      
36         0          10696      8          3.226184   Lab-0      
36         0          26302      10         3.2218099  Lab-0      
36         0          18531      9          3.2192607  Lab-0      
73         0          117247     1          2.415585   Lab-0      
73         0          50740      3          2.358583   Lab-0      
73         0          4110       2          2.3580868  Lab-0      
73         0          18756      4          2.2652931  Lab-0      
73         0          530        5          2.2614574  Lab-0      
73         0          174196     6          2.1916473  Lab-0      
73         0          229690     7          2.1888556  Lab-0      
73         0          38682      8          2.1588464  Lab-0      
73         0          125776     10         2.1565182  Lab-0      
73         0          16961      9          2.156167   Lab-0      
103        0          133694     1          3.5656202  Lab-0      
103        0          91254      2          3.4543903  Lab-0      
103        0          32379      3          3.1858876  Lab-0      
