ID,AnswerId
1815,30446 1384 46341 179073 196741 173709 22683 192907 164428 233956 
1904,27956 28271 179551 22996 607 18041 15830 29454 20640 1913 
1980,164694 15006 101043 38525 15004 189779 13576 162496 15005 90970 
2181,8637 37877 30843 11549 219843 2187 157379 132513 212962 21688 
2492,93411 144875 54811 114029 85811 2501 80836 82899 188666 204214 
2516,133586 102634 2303 38525 29645 205105 24620 147518 199374 62299 
2547,2550 138135 60636 111351 182811 214079 169938 8235 217733 69398 
2691,123349 32700 31856 123567 200367 193023 95106 97855 87231 179318 
2715,52638 19178 15960 48999 183198 122498 86103 188969 50506 61525 
3814,78840 129758 38484 153080 144339 23978 151314 151985 81320 237432 
3931,3904 110365 239380 136700 3934 136703 89159 49475 120789 156148 
4551,100022 77865 24265 60504 34271 135231 70724 211820 241129 187719 
4612,173661 145330 445 136745 59792 138977 61394 58006 44540 48098 
5026,193049 20446 1532 1551 178883 1547 71695 105954 40974 61920 
5115,80198 33555 74901 4210 2713 123657 113671 167095 67961 92139 
5292,41721 83429 15693 1213 55447 215957 38682 18779 239061 5301 
5465,171492 149076 130024 158833 34344 86016 200784 46623 86081 86074 
6421,16699 184921 229800 205741 116951 81274 6710 155309 127571 4235 
6601,6617 12011 6635 63779 162201 17412 6543 204558 3308 61525 
9085,225197 41415 46378 86447 229386 91254 17974 103057 187406 39170 
10459,230419 18993 81904 90944 224686 224607 49932 156230 238450 233048 
11009,61509 31031 101052 153633 65917 91283 194199 146401 6211 74022 
12128,30124 112065 157757 193023 16931 179393 218223 1069 171347 115977 
12386,17544 193695 1632 62242 240510 83429 145280 85851 198470 108049 
15670,155402 41039 17921 83429 56426 15693 207396 67310 38682 21678 
16750,118601 4505 2332 19062 16869 4502 238781 231231 85468 112630 
20514,1217 129303 155373 174910 135080 64086 62966 140231 3434 173624 
20977,181561 172878 167850 180399 220398 214403 147317 82187 160599 66285 
23779,116206 1582 78261 41316 23822 29724 240542 226544 46513 24250 
25672,25771 25674 192880 169045 25770 192858 104288 56155 27066 125528 
27495,27561 27699 25725 195094 109339 27497 109220 46623 185810 66880 
33780,64420 34144 15678 68258 21430 25813 162332 6236 1213 4789 
41208,41209 23812 41316 41295 43445 2713 207210 143050 213164 233821 
43339,88067 67982 139314 225866 202212 511 219663 43408 66476 206220 
86015,158833 34344 86397 86016 86017 86039 46623 86081 86092 86074 
93830,93890 108828 36243 143078 93835 3705 93904 93893 122112 144031 
112451,64103 113059 105961 112480 235085 68095 177348 171529 159324 94318 
126419,188748 8678 185353 239018 176713 87152 224840 113867 244 80787 
128616,202332 197336 188462 104751 128719 154539 156886 128761 19734 128916 
136870,136944 232089 182495 136879 102603 136903 137486 233821 169582 111363 
140547,63868 139312 177545 80744 164797 201213 63492 133680 143638 200537 
158631,163188 178599 158638 158689 180426 118643 221142 110381 187676 112630 
163915,58768 194321 129685 52031 67210 50142 163975 74344 54855 164234 
167051,3370 20578 6373 31886 83737 167075 167095 20630 61525 167146 
169156,232525 169159 23075 21804 169373 116806 189133 186912 74876 219346 
185507,172878 43647 127034 32355 54930 48641 141520 126580 125593 223198 
194035,232507 201591 6373 31886 4050 194152 11744 20630 31289 213929 
195034,130772 195094 196563 74720 123657 195042 195102 162496 104503 196757 
202879,220948 67210 134117 139312 235224 41733 210574 209354 45833 233166 
204930,110065 52649 204961 94501 139874 132546 219262 231284 217860 99823 
